First Last,First,Last,Company,Domain
Alicia Yoon,Alicia,Yoon,"Peach and Lily, Inc.",www.peachandlily.com
Jacopo Sebastio,Jacopo,Sebastio,Velasca s.r.l.,www.velasca.com
Virgil Abloh,Virgil,Abloh,RSVP Gallery,www.rsvpgallery.com
David Fleisher,David,Fleisher,Pitkin County Dry Goods,www.pitkincountydrygoods.com
Jennifer Bandier,Jennifer,Bandier,Bandier Holdings LLC,www.bandier.com
Bill Johnston,Bill,Johnston,Recover Brands,www.recoverbrands.com
Jenny Chung,Jenny,Chung,Acrimony,www.shopacrimony.com
Hayley Menzies,Hayley,Menzies,Hayley Menzies,www.hayleymenzies.com
Michael Nguyen,Michael,Nguyen,Garrison Bespoke,www.garrisonbespoke.com
Raf Maes,Raf,Maes,Komono,www.komono.com
Chris Ferguson,Chris,Ferguson,"Tlf Apparel Holdings, Inc.",www.tlfapparel.com
Betsy Cross,Betsy,Cross,"Betsy And Iya, Llc",www.betsyandiya.com
Julien Jarmoune,Julien,Jarmoune,"Creative Collective, Llc",www.blackorchiddenim.com
Ellen Bennett We’re Hiring,Ellen,Hiring,Hedley & Bennett,www.hedleyandbennett.com
Adam Rapp,Adam,Rapp,Clothing Arts,www.clothingarts.com
Lyndsey Butler,Lyndsey,Butler,Veda Nyc,www.thisisveda.com
Lindsey Crocker,Lindsey,Crocker,"MAD Apparel, Inc.",www.liveathos.com
Alexia Parmigiani,Alexia,Parmigiani,Alexia Fashion Limited,www.alexiafashion.co.uk
Tim Hartzenberg,Tim,Hartzenberg,Shooshoos™,www.shooshoos.com
Julie Pinzur,,,Mokuyobi Threads,www.mokuyobithreads.com
