First Last,First,Last,Company,Domain
Freshie Beth Lawrence,Freshie,Lawrence,Freshie & Zero,www.freshieandzero.com
Wen Yao,Wen,Yao,Powwful,www.powwful.com
Peeyush Rastogi,Peeyush,Rastogi,Happee Brand,www.iamhappee.com
Maggie Drake,Maggie,Drake,Bandolier,www.bandolierstyle.com
Taffi Woolward Ayodele,Taffi,Ayodele,Thando's,www.thandos.com
Janean Mann,Janean,Mann,Junes,www.junes.co
Albert Vaisman,Albert,Vaisman,Soxy.com,www.soxy.com
Diego Arroyo Ruiz,Diego,Ruiz,laagam,www.laagam.com
Marvin Morgan,Marvin,Morgan,Fresh Ego Kid,www.freshegokid.com
Mariana Castillo,Mariana,Castillo,Ben & Frank,www.benandfrank.com
Bryan Manning,Bryan,Manning,Two Blind Brothers,www.twoblindbrothers.com
Sandy Li,Sandy,Li,Pushas,www.pushas.com
Daniela Caine,Daniela,Caine,ngnINE,www.ngnine.io
Vic Gigliotti,Vic,Gigliotti,Muscle Republic Gymwear,www.musclerepublic.com
Yanal Dhailieh,Yanal,Dhailieh,Peace Collective,www.peace-collective.com
Monica Young Ashauer,Monica,Ashauer,Birdy Grey,www.birdygrey.com
David Goldberg,David,Goldberg,GPF Footwear LLC / Ewing Athletics,www.ewingathletics.com
Kasper Brandi Petersen,Kasper,Petersen,Labfresh,www.labfresh.eu
Travis Hartanov,Travis,Hartanov,Known Supply,www.knownsupply.com
Andrew Lim,,,Holden,www.hiholden.com
