First Last,First,Last,Company,Domain
Aman Advani,Aman,Advani,"Ministry of Supply, Inc.",www.ministryofsupply.com
Michael Bowman,Michael,Bowman,c'est la vie,www.clvcatalog.com
Conni Reed,Conni,Reed,Consuela,www.consuelastyle.com
Ben Clark,Ben,Clark,B-Unlimited,www.b-unlimited.com
Christy Rilling,Christy,Rilling,Christy Rilling Studio,www.christyrilling.com
Dhananja Jayalath,Dhananja,Jayalath,"MAD Apparel, Inc.",www.liveathos.com
Polina Veksler,Polina,Veksler,Universal Standard Clothing LLC,www.universalstandard.net
Jess Ekstrom,Jess,Ekstrom,Headbands of Hope,www.headbandsofhope.com
Camille Macmillan,Camille,Macmillan,Kid Dangerous Llc,www.kiddangerous.com
Noah Dentzel,Noah,Dentzel,"Nomad Goods, Inc.",www.hellonomad.com
Fernando Gerscovich,Fernando,Gerscovich,Industry Of All Nations Llc,www.industryofallnations.com
Josh Walker,Josh,Walker,"1620 Workwear, Inc.",www.1620usa.com
Umaimah Ali Mendhro,Umaimah,Mendhro,VIDA & Co.,www.shopvida.com
Carmin Gabrielle Black,Carmin,Black,Half United,www.halfunited.com
Jedd Rose,Jedd,Rose,Topo Designs Llc,www.topodesigns.com
Dustin Sakr,Dustin,Sakr,Civil Clothing,www.civilclothing.com
Erik Allen Schnakenberg,Erik,Schnakenberg,Buck Mason,www.buckmason.com
Jason Angsuvarn,Jason,Angsuvarn,"Jason Markk, Inc.",www.jasonmarkk.com
Brian Berger,Brian,Berger,"Mack Weldon, Inc.",www.mackweldon.com
Christopher Wiebe,,,"MAD Apparel, Inc.",www.liveathos.com
